Info 136  [22:14:51.630] Elapsed:: 0.003707990050315857ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/lodash.isstring :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 137  [22:14:51.630] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/lodash.once :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 138  [22:14:51.630] Elapsed:: 0.0035840123891830444ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/lodash.once :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 139  [22:14:51.630] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/jws :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 140  [22:14:51.630] Elapsed:: 0.023583993315696716ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/jws :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 141  [22:14:51.630] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/jwa :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 142  [22:14:51.630] Elapsed:: 0.02312500774860382ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/jwa :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 143  [22:14:51.630] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/buffer-equal-constant-time :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 144  [22:14:51.630] Elapsed:: 0.0221250057220459ms DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/buffer-equal-constant-time :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
Info 145  [22:14:51.630] DirectoryWatcher:: Triggered with /users/wayneolson/dev/projects/contact-pro/backend/node_modules/lodash.isplainobject :: WatchInfo: /users/wayneolson/dev/projects/contact-pro/backend/node_modules 1 undefined WatchType: node_modules for closed script infos and package.jsons affecting module specifier cache
